13/04/2026,16:45:01,-0.02,0.22,0.90
13/04/2026,16:45:02,-0.02,0.21,0.91
13/04/2026,16:45:02,-0.13,0.23,0.92
13/04/2026,16:45:03,-0.02,0.21,0.90
13/04/2026,16:45:03,0.00,0.19,0.91
13/04/2026,16:45:05,0.00,0.19,0.91
13/04/2026,16:45:06,0.09,0.19,0.89
13/04/2026,16:45:02,-0.02,0.19,0.90
13/04/2026,16:45:02,-0.01,0.21,0.91
13/04/2026,16:45:01,0.12,0.56,0.48
13/04/2026,16:45:01,-0.43,0.76,0.80
13/04/2026,16:45:02,0.05,0.49,0.81
13/04/2026,16:45:01,1.30,-0.02,0.50
13/04/2026,16:45:02,0.18,0.44,0.80
13/04/2026,16:45:04,0.18,0.43,0.81
13/04/2026,16:45:05,0.22,0.26,1.05
13/04/2026,16:45:05,0.28,0.58,0.69
13/04/2026,16:46:43,0.45,0.72,0.71
13/04/2026,16:46:44,-0.14,0.37,0.74
13/04/2026,16:45:05,0.89,0.16,0.44
13/04/2026,16:45:05,0.23,0.53,0.78
13/04/2026,16:45:06,-0.05,0.92,0.86
13/04/2026,16:45:07,0.21,0.52,0.78
13/04/2026,16:45:02,-0.19,0.62,0.50
13/04/2026,16:45:03,0.40,0.55,0.64
13/04/2026,16:45:03,0.19,0.60,0.71
13/04/2026,16:45:04,0.08,0.33,0.74
13/04/2026,16:45:04,0.23,0.57,0.71
13/04/2026,16:45:03,0.32,1.04,0.84
13/04/2026,16:45:03,0.19,0.63,0.67
13/04/2026,16:45:02,1.46,0.16,0.39
13/04/2026,16:45:02,0.24,0.58,0.70
13/04/2026,16:45:05,-0.53,0.94,0.86
13/04/2026,16:45:06,0.23,0.55,0.74
13/04/2026,16:45:04,1.19,0.59,0.49
13/04/2026,16:45:05,0.23,0.61,0.67
13/04/2026,16:49:02,0.65,0.79,0.58
13/04/2026,16:45:01,0.04,0.68,0.85
13/04/2026,16:45:02,0.18,0.50,0.44
13/04/2026,16:45:06,0.21,0.62,0.65
13/04/2026,16:45:06,0.46,0.58,0.84
13/04/2026,16:45:07,0.85,0.57,0.60
13/04/2026,16:45:08,0.17,0.55,0.74
13/04/2026,16:45:02,-0.09,0.41,1.04
13/04/2026,16:45:02,1.04,0.61,1.10
13/04/2026,16:45:03,0.08,0.32,0.96
13/04/2026,16:45:04,-0.07,0.25,0.33
13/04/2026,16:45:16,0.31,0.49,0.84
13/04/2026,16:45:19,0.67,0.09,0.57
13/04/2026,16:45:20,0.11,0.50,0.73
13/04/2026,16:45:21,-0.26,0.28,0.92
13/04/2026,16:45:21,0.28,0.58,0.71
13/04/2026,16:45:00,0.12,0.48,0.76
13/04/2026,16:45:00,0.23,0.35,1.21
13/04/2026,16:45:01,0.02,0.59,0.67
13/04/2026,16:45:01,0.24,0.61,0.63
13/04/2026,16:45:03,-0.41,0.46,0.76
13/04/2026,16:45:04,0.09,0.74,0.78
13/04/2026,16:45:05,0.16,0.58,0.75
13/04/2026,16:45:19,0.11,0.44,0.87
13/04/2026,16:45:20,0.23,0.50,0.69
13/04/2026,16:45:00,0.12,0.51,0.77
13/04/2026,16:45:01,-0.21,0.94,0.51
13/04/2026,16:45:02,0.15,0.55,0.76
13/04/2026,16:45:03,0.08,0.62,0.68
13/04/2026,16:45:01,0.14,0.65,0.53
13/04/2026,16:45:01,0.11,0.61,0.71
13/04/2026,16:45:03,0.68,0.33,1.05
13/04/2026,16:45:04,1.24,0.22,0.72
13/04/2026,16:45:05,0.29,0.71,0.82
13/04/2026,16:45:06,0.37,0.53,0.69
13/04/2026,16:45:02,-0.05,0.63,0.69
13/04/2026,16:45:03,-0.33,0.84,0.57
13/04/2026,16:45:05,0.02,0.64,0.55
13/04/2026,16:45:06,0.83,0.24,0.66
13/04/2026,16:45:09,1.44,0.45,0.66
13/04/2026,16:45:10,0.19,0.84,0.63
13/04/2026,16:45:11,-0.14,0.47,0.64
13/04/2026,16:45:11,0.04,0.55,0.74
13/04/2026,16:45:02,-0.42,1.16,0.70
13/04/2026,16:45:03,-0.14,0.92,0.76
13/04/2026,16:45:04,0.62,0.73,0.62
13/04/2026,16:45:04,0.98,0.62,0.94
13/04/2026,16:45:05,1.16,0.90,1.07
13/04/2026,16:45:06,0.78,0.48,0.62
13/04/2026,16:45:00,0.10,0.52,0.78
13/04/2026,16:45:02,0.48,0.85,0.80
13/04/2026,16:45:02,1.73,0.50,1.43
13/04/2026,16:45:03,0.39,0.39,0.57
